"","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","GlassType","K.sqrt","Ba.sqrt","Fe.sqrt","GTF","outm1","outm2","outm3","outm"
"80",1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,2,0.830662386291807,0,0,"2","2","2","2","2"
"90",1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,2,0.793725393319377,0,0.3,"2","2","2","2","2"
"92",1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,2,0.66332495807108,0,0,"2","2","2","2","1"
"94",1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,2,0.62449979983984,0,0,"2","2","2","2","2"
"95",1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,2,0.818535277187245,0,0,"2","2","2","2","2"
"97",1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,2,0.8,0,0.387298334620742,"2","1","2","1","1"
"100",1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,2,0.774596669241483,0.374165738677394,0,"2","2","2","2","2"
"101",1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2,0.754983443527075,0.33166247903554,0.469041575982343,"2","2","2","2","2"
"109",1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,2,0.316227766016838,0,0.282842712474619,"2","7","2","2","6"
"111",1.52664,11.23,0,0.77,73.21,0,14.68,0,0,2,0,0,0,"2","2","2","2","2"
"112",1.52739,11.02,0,0.75,73.08,0,14.96,0,0,2,0,0,0,"2","2","2","2","2"
"119",1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,2,0.806225774829855,0,0.53851648071345,"2","2","2","2","2"
"120",1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,2,0.8,0,0,"2","2","2","2","2"
"129",1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2,0.728010988928052,0.519615242270663,0.412310562561766,"2","2","2","7","2"
"131",1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0,0,2,0.574456264653803,0,0,"2","2","2","2","2"
"135",1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,2,0.721110255092798,0,0,"2","1","2","1","1"
"140",1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,2,0.806225774829855,0,0,"2","2","2","2","2"
"155",1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,3,0.781024967590665,0,0,"3","1","2","1","1"
"156",1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,3,0.721110255092798,0,0,"3","1","1","1","1"
"158",1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,3,0.33166247903554,0,0,"3","1","1","1","1"
"160",1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,3,0.754983443527075,0,0.3,"3","2","3","2","2"
"162",1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3,0.4,0.387298334620742,0.489897948556636,"3","1","1","1","1"
"163",1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,3,0.479583152331272,0,0.608276253029822,"3","2","1","1","1"
"167",1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,5,0.761577310586391,0,0,"5","5","5","2","2"
"174",1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,5,0.574456264653803,0,0,"5","5","5","2","5"
"176",1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,5,0.360555127546399,0,0.529150262212918,"5","2","5","2","6"
"178",1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,6,0,0,0,"6","2","6","1","2"
"179",1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,6,0,0,0,"6","6","6","2","6"
"180",1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,6,0,0,0,"6","6","6","7","6"
"181",1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,6,0,0,0,"6","6","6","7","6"
"186",1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,7,1.32664991614216,1.09087121146357,0,"7","7","2","2","2"
"187",1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,7,1.20830459735946,1.27671453348037,0,"7","7","2","2","7"
"191",1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,7,0,0.871779788708135,0,"7","7","7","7","7"
"192",1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,7,0,0.8,0.3,"7","7","7","7","7"
"196",1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,7,0.282842712474619,0.781024967590665,0.223606797749979,"7","7","7","7","7"
"198",1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,7,0,0.812403840463596,0,"7","7","7","7","7"
"201",1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,7,0,0.793725393319377,0,"7","7","7","7","7"
"203",1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,7,0,0.748331477354788,0,"7","7","7","7","7"
"208",1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,7,1.18743420870379,1.69705627484771,0,"7","7","7","7","7"
